ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,737.2297036,-0.038161294,0.068736719,-0.555180608,0.578771132,0.707386939
ENSG00000000419,1634.992908,0.117298006,0.05253906,2.232586698,0.025576212,0.054766371
ENSG00000000457,431.5826801,-0.389666913,0.064639252,-6.028332682,1.66E-09,8.79E-09
ENSG00000000460,458.4778693,0.557681645,0.067316337,8.284491883,1.19E-16,1.02E-15
ENSG00000001036,1427.040764,0.460339605,0.072200639,6.375838363,1.82E-10,1.04E-09
ENSG00000001084,1477.483278,0.190525086,0.055808655,3.41389851,0.000640404,0.001857778
ENSG00000001167,487.0092491,-0.065780057,0.069219314,-0.950313615,0.341952923,0.484741787
ENSG00000001460,109.1784416,-0.392765862,0.130120343,-3.018481596,0.002540448,0.006655929
ENSG00000001461,391.1458064,-0.659310541,0.06864018,-9.60531489,7.59E-22,8.59E-21
ENSG00000001497,649.2676041,0.535818458,0.081301549,6.590507377,4.38E-11,2.62E-10
ENSG00000001561,305.067665,-0.349551663,0.090383361,-3.867433785,0.000109987,0.000356828
ENSG00000001617,1007.458466,-1.061511941,0.057691219,-18.39988758,1.32E-75,6.85E-74
ENSG00000001626,7.048390397,-0.14712305,0.2863382,-0.513808671,0.607385765,0.730150012
ENSG00000001629,3528.418119,-0.068072951,0.038901169,-1.749894714,0.080136483,0.1487071
ENSG00000001630,7153.318869,0.470568715,0.061873164,7.605376585,2.84E-14,2.10E-13
ENSG00000001631,2178.25558,0.000316388,0.038074269,0.008309755,0.993369851,0.996149871
ENSG00000002016,407.5836799,0.007237753,0.08880341,0.081503097,0.935041862,0.962620212
ENSG00000002330,634.7433986,-0.456954946,0.087740871,-5.208005608,1.91E-07,8.42E-07
ENSG00000002549,1296.674461,0.081674863,0.070109232,1.164965877,0.244032806,0.374296512
ENSG00000002586,459.7477561,-0.130274231,0.08440368,-1.543466249,0.12271769,0.213915522
ENSG00000002746,6.581943681,-0.258608383,0.285532706,-0.905704943,0.365092046,0.509062204
ENSG00000002822,539.014862,0.061159263,0.059632458,1.025603581,0.305078479,0.445557182
