id,WT_Veh1,WT_Veh2,WT_Veh3,WT_E2-1,WT_E2-2,WT_E2-3,baseMean
HIST1H2BL,1.86749,1.18589,1.46543,1.24092,1.58254,0.521049,1.310553167
C9orf72,1.90106,1.95062,1.84898,1.89346,1.77109,2.57838,1.990598333
MTL5,6.25644,5.71866,5.70243,5.47415,7.10474,5.36718,5.937266667
DPM1,72.0071,76.9035,70.5278,80.9779,75.3635,79.7986,75.92973333
C19orf71,1.08036,0.62472,0.900644,0.695085,0.444626,0.853956,0.766565167
OST4,172.868,175.734,176.47,166.32,164.637,164.813,170.1403333
ZNF367,4.97497,4.81457,4.04495,6.68849,6.86082,7.47172,5.809253333
DUSP2,3.56166,2.90574,3.48926,4.44639,3.31243,4.36629,3.680295
PRRG4,3.24432,3.56729,3.36399,3.72878,3.25898,4.02982,3.532196667
BACH1,6.08636,4.71118,5.91648,4.41924,5.30138,5.36641,5.300175
FAM86A,11.2804,12.5532,12.9737,14.425,12.7212,12.2438,12.69955
SENP2,17.2297,16.0675,16.3431,17.5893,15.9723,16.12,16.55365
KCNG2,0,0,0,0,0,0,0
LMOD3,0.011371,0.0240797,0.0297558,0.0114964,0,0.022032,0.016455817
NSUN2,34.6712,37.0852,35.1218,41.1794,37.8982,38.3621,37.38631667
ACADM,15.7249,14.6249,14.1532,14.4673,14.825,15.6544,14.90828333
WDR62,5.24258,4.78216,5.31391,5.83336,5.23199,5.09696,5.25016
GRIK1,0,0,0,0,0,0,0
SMG9,17.9565,17.2616,17.9364,16.5157,15.752,15.1136,16.75596667
BUB1,13.9195,14.9228,14.4276,14.0182,11.9008,13.6232,13.80201667
KCNMB1,0.09549,0.197453,0.086711,0.111712,0.0865791,0.093287,0.111872017
HOXD13,0.0112809,0,0,0,0,0,0.00188015
FDXACB1,1.16183,1.10253,1.14818,1.58851,1.2978,1.65585,1.325783333
FAXC,2.64793,2.3798,2.35658,3.02822,2.6392,2.81703,2.644793333
BBS12,0.76941,0.920654,1.32976,0.694432,0.778119,0.787916,0.8800485
2-Mar,7.73455,7.33384,7.65641,6.06167,6.22592,6.20328,6.869278333
HEPH,0,0,0.0133409,0.0132988,0,0,0.00443995
DLEU1,3.14078,2.88987,2.56186,4.40365,3.25284,4.56368,3.46878
AC079612.1,0,0,0,0,0,0,0
EPHB4,25.5723,23.0971,25.3153,25.1367,24.9027,24.1965,24.70343333
LRRC8A,17.8273,16.0693,17.9292,14.7581,14.2922,15.7993,16.11256667
NDUFS1,37.8467,41.0017,38.7763,40.9512,38.7237,39.0214,39.38683333
TMEM56,1.51614,1.88486,1.39988,1.23101,1.53019,1.49772,1.509966667
SMAD5,16.0437,18.3668,15.281,14.5476,16.6062,15.6238,16.07818333
CPA3,0,0,0,0,0.0163452,0,0.0027242
MCTP1,1.24049,1.09356,0.658638,1.15163,1.10035,0.8908,1.022578
ABHD14B,19.782,17.495,18.9769,17.2247,17.5135,16.5051,17.9162
COX15,20.7959,20.2987,19.6218,19.0132,18.7728,20.3347,19.80618333
SPATA31A4,0,0.00100826,0,0,0.0010764,0,0.000347443
DCTD,19.3138,19.2329,20.1665,18.2692,20.281,19.9248,19.53136667
GOLGA8G,0.0106824,0.00131537,0.0164868,0.00183816,0.0181228,0.00711373,0.009259877
TMEM109,58.5106,55.1908,60.1014,57.0908,54.3818,54.7741,56.67491667
EIF3H,222.565,222.631,221.515,211.274,229.086,224.21,221.8801667
NIPA1,8.75449,8.5225,8.51554,8.3834,7.80994,8.46441,8.40838
SLC34A2,0.0234391,0,0.0878339,0,0,0,0.0185455
PSKH1,10.7036,10.1441,10.9845,9.14316,8.8239,9.08381,9.813845
UTP14C,5.22306,5.08107,4.93953,5.2552,5.0655,5.25785,5.137035
SAGE1,0.0148247,0,0,0,0,0,0.002470783
ARHGEF17,6.03066,4.63971,5.80628,5.14034,4.6467,4.011,5.045781667
NUDCD2,30.9619,34.0751,30.1991,30.3282,32.5284,33.9431,32.00596667
ZNF766,8.05265,8.19676,6.79513,8.24534,8.72583,7.30511,7.886803333
THEMIS2,0.215355,0.200079,0.125215,0.0269768,0.290863,0.0517847,0.15171225
JAM3,0.00726613,0,0.0190385,0.0293873,0.153789,0,0.034913488
SBF1,12.1178,9.97724,12.1245,10.4516,10.7041,11.0438,11.06984
STAM,10.9312,10.9805,9.37783,11.6645,10.9202,10.4694,10.72393833
SIAE,10.5975,10.6807,10.763,11.3294,10.5298,10.5562,10.74276667
LGALS13,0,0,0,0,0,0,0
BMPR2,11.5351,11.9082,11.6558,10.7474,10.8748,11.9795,11.45013333
WDFY2,1.79236,1.87894,1.9727,1.69088,1.56854,1.29938,1.700466667
AC018867.1,0,0,0,0,0,0,0
SEMA3D,3.11854,3.48669,3.06327,2.85591,2.88796,3.45349,3.14431
NUP210,29.5956,28.3847,29.3347,32.7325,29.4928,28.791,29.72188333
TCEANC2,3.06539,2.98521,2.45646,3.44916,2.86824,2.32906,2.85892
RASD1,1.66901,1.87629,1.60079,1.61209,0.860145,1.03655,1.442479167
DDC,0.0181569,0,0,0.0328166,0,0.0225529,0.0122544
TRPC1,3.20788,3.15638,3.4363,3.41465,3.49285,3.49407,3.367021667
PHKA2,6.50919,5.85118,5.99824,5.48055,5.59916,5.4877,5.821003333
DNAJC7,63.3681,67.6434,64.9484,70.2318,68.472,76.9593,68.60383333
BCR,16.672,14.1367,15.8172,13.5637,12.6108,12.78,14.2634
OR5T1,0,0,0,0,0,0,0
TRAF1,0.534946,0.494347,0.530459,0.441093,0.390392,0.316817,0.451342333
KCNQ5,0,0,0,0.0183494,0.0101113,0.00463989,0.005516765
HTR6,0.103248,0.0684104,0.0169073,0.0521937,0.0730337,0.128247,0.07367335
COX6A1P2,187.053,194.226,190.86,175.421,152.697,153.342,175.5998333
C5orf51,7.43975,7.63111,7.29925,7.08884,7.44044,7.97343,7.478803333
CD151,129.563,119.005,134.16,123.134,114.111,108.136,121.3515
PFKL,57.6505,53.1942,59.6071,49.2157,49.7676,47.7902,52.87088333
AL049829.1,0.582235,0.308622,2.6696,0.294329,17.7919,6.14723,4.632319333
PGM1,1.62008,1.6727,1.89766,1.80272,1.594,1.63955,1.704451667
EIF2S3,57.6112,58.967,57.3545,62.7552,63.0517,64.8575,60.76618333
ARTN,1.38646,1.44109,1.08473,2.52282,2.0976,2.45649,1.831531667
BFSP2,0,0,0,0.0171628,0.0192125,0,0.00606255
CNTD2,0.620953,0.600802,0.994476,0.657209,1.29031,0.723032,0.814463667
SIGLEC9,0,0,0,0.0156352,0,0,0.002605867
OR10G8,0,0,0,0,0,0,0
SMC5,7.52168,7.22932,6.81707,7.76697,7.23638,8.42049,7.498651667
IVL,0.306417,0.312431,0.370538,0.440866,0.30678,0.322051,0.3431805
FAM151B,0.78978,1.33641,1.09432,0.783137,1.13451,0.924403,1.010426667
SOX21,0.0199688,0.0423389,0.0523192,0.0504726,0.0339002,0.0620089,0.043501433
NDUFA8,59.6557,61.1817,62.7751,60.1682,57.2487,57.1508,59.6967
RIPPLY3,3.29461,3.74647,3.67405,3.17851,3.10374,3.62406,3.436906667
RP13-996F3.5,1.07751,0.848076,0.783938,0.894061,0.916619,0.721572,0.873629333
KNSTRN,17.6483,20.0922,18.4774,21.5663,19.2235,20.6055,19.6022
STAC3,3.56658,3.52419,2.7679,3.12943,3.53616,2.8844,3.234776667
WRAP53,6.47996,6.09354,6.19408,6.75237,5.00214,5.4252,5.991215
PARP12,8.18564,7.87075,8.64181,6.74662,7.01242,7.80013,7.709561667
ABHD11,69.8462,66.3849,69.9199,64.7095,64.7855,60.6714,66.0529
DDX21,38.6507,40.335,37.3555,61.6105,55.4456,63.4886,49.48098333
TRAT1,0,0,0,0,0,0,0
FRAT2,8.70508,8.0719,9.3578,8.39473,9.54025,9.23646,8.88437
NUP188,31.4604,30.0302,29.9915,31.9343,30.6676,29.8693,30.65888333
MVP,65.1759,66.3967,57.875,68.7972,60.7236,41.9787,60.15785
KAT2B,5.89965,5.64472,6.02059,4.34072,4.51124,5.2528,5.278286667
MAN2A1,14.6039,15.084,14.4025,14.2399,14.1131,15.1824,14.6043
COASY,20.2504,16.8287,19.9384,18.5753,17.9816,17.6848,18.5432
SERF2,454.752,450.566,472.424,414.492,401.547,381.225,429.1676667
GRM5,0.00537111,0.0185454,0,0,0.0197988,0,0.007285885
KLK12,0.0434337,0.0279456,0,0,0,0,0.01189655
LCORL,3.54342,3.3193,3.85474,3.68016,3.62448,3.90284,3.654156667
CCDC78,22.8752,17.7586,19.0767,21.1875,20.022,18.5519,19.91198333
PARP15,0.0239387,0.0114902,0,0,0.0234114,0,0.009806717
AC037199.1,0,0,0,0,0,0,0
SLC52A1,0.0105619,0.0224013,0.0692178,0.0427345,0.0478381,0.0262468,0.036500067
CTC-273B12.7,0.768648,0.197838,1.39432,0.526334,3.72004,1.5841,1.365213333
AKAP8L,21.4722,24.6106,24.5321,23.0415,22.897,20.3803,22.82228333
SLC35E2B,14.2631,13.4215,14.6067,14.781,15.2295,14.6834,14.49753333
CHRNG,0.0385118,0,0,0.0389366,0.0126308,0.0478819,0.022993517
NOL4,0.0133059,0.012072,0,0.0137686,0.015454,0,0.009100083
B3GALTL,2.54447,2.42111,2.37564,2.21158,2.30895,2.54813,2.401646667
RDH11,48.572,46.4109,47.5527,50.4171,47.6338,46.153,47.78991667
ATP5I,191.753,232.586,200.203,238.787,222.099,185.51,211.823
TENC1,2.17912,1.54189,1.61614,1.26448,1.43301,1.27931,1.552325
SLC10A7,3.47644,3.09362,3.07364,2.83344,2.88889,2.88939,3.04257
CAPN7,19.0476,19.1275,20.3444,20.4247,22.9513,20.5115,20.40116667
WDFY3,11.2757,12.2251,9.83723,9.96267,9.1778,9.67706,10.35926
RAD54L2,3.5037,3.64463,3.67983,3.42052,3.61076,3.31789,3.529555
POLR2G,104.19,96.2574,90.4119,93.5059,96.5845,95.7682,96.11965
SEMA4F,2.42043,2.54648,2.68111,2.67244,2.41404,2.26121,2.499285
