DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2016-04-28	25964295	Khan S	2015-05-11	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/25964295	Polymorphism at 19q13.41 Predicts Breast Cancer Survival Specifically after Endocrine Therapy.	Survival in endocrine treated breast cancer (estrogen-receptor positive)	352 European ancestry cases with endocrine therapy, 254 European ancestry cases without endocrine therapy, 597 European ancestry controls	3,330 European ancestry cases with endocrine therapy, 42 European ancestry cases without endocrine therapy, 1,351 European ancestry controls	19q13.41	19	51942133	ZNF613	ZNF613			ENSG00000176024			rs8113308-G	rs8113308	0	8113308	intron_variant	0	0.152	6E-7	6.221848749616356		1.69	[1.37-2.07]	Illumina [486478]	N	survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0007613	GCST002901	Genome-wide genotyping array
2019-03-27	28864454	Lacson JCA	2017-09-01	Cancer Epidemiol Biomarkers Prev	www.ncbi.nlm.nih.gov/pubmed/28864454	Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.	Breast cancer (progesterone-receptor positive)	1,049 cases, 1,310 controls	NA	10q26.13	10	121577821	FGFR2	FGFR2			ENSG00000066468			rs2981579-T	rs2981579	0	2981579	intron_variant	0	NR	5E-7	6.301029995663981		1.23		Illumina [129771]	N	progesterone-receptor negative breast cancer	http://www.ebi.ac.uk/efo/EFO_0009781	GCST007420	Exome genotyping array [Exome array]
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	3q25.1	3	150755819	SIAH2	SIAH2			ENSG00000181788			rs60538652-A	rs60538652	0	60538652	intron_variant	0	0.65	6E-7	6.221848749616356		1.26	[1.15-1.38]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	6q23.3	6	135969804	PDE7B	PDE7B			ENSG00000171408			rs11154838-C	rs11154838	0	11154838	intron_variant	0	0.75	1E-6	6.0		1.27	[1.15-1.40]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	6q25.1	6	151623479	CCDC170, ESR1	CCDC170 - ESR1	ENSG00000120262	ENSG00000091831		2286	33212	rs9383936-A	rs9383936	0	9383936	intergenic_variant	1	0.34	1E-10	10.0		1.35	[1.23-1.48]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	7q21.3	7	93992935	BET1	BET1, AC006378.1			ENSG00000105829, ENSG00000236861			rs10953105-G	rs10953105	0	10953105	intron_variant	0	0.88	1E-6	6.0		1.37	[1.21-1.56]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	8q12.3	8	61692700	ASPH	ASPH			ENSG00000198363			rs2350923-T	rs2350923	0	2350923	intron_variant	0	0.76	8E-7	6.096910013008056		1.28	[1.16-1.42]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	9p21.3	9	21995942	CDKN2B-AS1	AL449423.1, CDKN2B-AS1, AL359922.1			ENSG00000266446, ENSG00000240498, ENSG00000264545			rs78545330-A	rs78545330	0	78545330	non_coding_transcript_exon_variant	0	0.26	3E-6	5.522878745280337		1.26	[1.14-1.39]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	9p13.3	9	34129841	DCAF12	DCAF12 - AL354989.2	ENSG00000198876	ENSG00000239392		2442	3316	rs10814070-T	rs10814070	0	10814070	intergenic_variant	1	0.75	2E-6	5.698970004336019		1.26	[1.15-1.39]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	10q26.13	10	121589148	FGFR2	FGFR2			ENSG00000066468			rs2912774-T	rs2912774	0	2912774	intron_variant	0	0.42	6E-7	6.221848749616356		1.25	[1.14-1.36]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	10q26.2	10	127011685	DOCK1	AL359094.1, DOCK1			ENSG00000223528, ENSG00000150760			rs9418690-C	rs9418690	0	9418690	intron_variant	0	0.76	1E-6	6.0		1.28	[1.16-1.41]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	12p11.23	12	26617956	ITPR2	ITPR2			ENSG00000123104			rs4964006-T	rs4964006	0	4964006	intron_variant	0	0.98	2E-6	5.698970004336019		1.96	[1.49-2.58]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	12q22	12	95623181	PGAM1P5, NTN4	PGAM1P5			ENSG00000257150			rs67129489-G	rs67129489	0	67129489	intron_variant	0	0.15	9E-7	6.045757490560675		1.36	[1.20-1.53]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	13q12.3	13	29862831	Intergenic	UBL3 - Metazoa_SRP	ENSG00000122042	ENSG00000277740		12214	1541	rs278050-C	rs278050	0	278050	intergenic_variant	1	0.21	4E-6	5.3979400086720375		1.28	[1.15-1.42]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	16q12.1	16	52565276	TOX3	CASC16			ENSG00000249231			rs4784227-T	rs4784227	0	4784227	intron_variant	0	0.32	9E-9	8.045757490560675		1.31	[1.19-1.44]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	17q25.1	17	72983988	SLC39A11	SLC39A11			ENSG00000133195			rs4969001-T	rs4969001	0	4969001	intron_variant	0	0.86	7E-6	5.154901959985743		1.32	[1.17-1.49]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA				Intergenic							rs73107564-A	rs73107564	0	73107564		1	0.89	2E-7	6.698970004336019		1.43	[1.25-1.63]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	3q25.1	3	150750021	SIAH2	SIAH2			ENSG00000181788			rs6788895-G	rs6788895	0	6788895	intron_variant	0	0.6	2E-6	5.698970004336019		1.23	[NR]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	6q25.1	6	151627231	CCDC170, ESR1	CCDC170 - ESR1	ENSG00000120262	ENSG00000091831		6038	29460	rs2046210-A	rs2046210	0	2046210	intergenic_variant	1	0.36	1E-9	9.0		1.3	[NR]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	10q26.13	10	121586602	FGFR2	FGFR2			ENSG00000066468			rs2981575-G	rs2981575	0	2981575	intron_variant	0	0.43	2E-8	7.698970004336019		1.27	[NR]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2018-12-14	30323354	Lee JY	2018-10-15	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/30323354	BRCA1/2-negative, high-risk breast cancers (BRCAX) for Asian women: genetic susceptibility loci and their potential impacts.	BRCA1/2-negative high-risk breast cancer	1,469 Korean ancestry cases, 5,979 Korean ancestry controls	NA	16q12.1	16	52565276	CASC16, TOX3	CASC16			ENSG00000249231			rs4784227-T	rs4784227	0	4784227	intron_variant	0	0.26	2E-9	8.698970004336019		1.31	[NR]	Affymetrix, Illumina [3378933] (imputed)	N	BRCAX breast cancer	http://www.ebi.ac.uk/efo/EFO_0009443	GCST006719	Genome-wide genotyping array
2012-12-02	23001122	Orr N	2012-09-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23001122	Genome-wide association study identifies a common variant in RAD51B associated with male breast cancer risk.	Breast cancer (male)	823 European ancestry cases, 2,795 European ancestry controls	438 European ancestry cases, 474 European ancestry controls	1p31.1	1	84156830	PRKACB	PRKACB			ENSG00000142875			rs903263-?	rs903263	0	903263	intron_variant	0	NR	1E-6	6.0		1.27	[1.10-1.34]	Illumina [447760]	N	male breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0006861	GCST001690	Genome-wide genotyping array
2012-12-02	23001122	Orr N	2012-09-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23001122	Genome-wide association study identifies a common variant in RAD51B associated with male breast cancer risk.	Breast cancer (male)	823 European ancestry cases, 2,795 European ancestry controls	438 European ancestry cases, 474 European ancestry controls	14q24.1	14	68232877	RAD51B	RAD51B			ENSG00000182185			rs1314913-?	rs1314913	0	1314913	intron_variant	0	NR	3E-13	12.522878745280337		1.57	[1.39-1.77]	Illumina [447760]	N	male breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0006861	GCST001690	Genome-wide genotyping array
2012-12-02	23001122	Orr N	2012-09-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23001122	Genome-wide association study identifies a common variant in RAD51B associated with male breast cancer risk.	Breast cancer (male)	823 European ancestry cases, 2,795 European ancestry controls	438 European ancestry cases, 474 European ancestry controls	16q12.1	16	52552429	LOC643174, TOX3	CASC16			ENSG00000249231			rs3803662-?	rs3803662	0	3803662	non_coding_transcript_exon_variant	0	NR	4E-15	14.397940008672037		1.5	[1.35-1.66]	Illumina [447760]	N	male breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0006861	GCST001690	Genome-wide genotyping array
